EventDescription,FailedAssets,CauseTechnical,Category
Vic Fire reported a wire down and fire at the above location.  On arrival the crew found that a cross arm fire had occurred on a 22kV pole which burnt the crossarm causing the end of the arm to break off however the conductor remained aloft.  Protection operated.  There was no ground fire.  There were no reported injuries or third party property damages.,Crossarm (wood),Leakage,Crossarm
CFA reported a pole fire at the above location.  On arrival the crew found that an LV overhead service cable had been rubbing on a customer responsible tree resulting in a fire in the tree and also a ground fire (approx. 2m x 5m) on private property. There were no reported injuries.,Service conductor,,Trees
"REC reported excavator had dug up SWER earth cable at the location.  On arrival the crew found that a property owner  (Graham Croft, Ph: 0418 372 759) was using an excavator and contacted a SWER earth cable breaking the cable. There was no ground fire. There were no reported injuries or third party property damages.",Outdoor;No failed asset,,Dug up
CFA reported a fire on a pole at the above location.  On arrival the crew found that  a pole fire had occurred on a 22kV pole which had damaged the top section of the pole. There was no ground fire.  There were no reported injuries or third party property damages.,Pole (wood),Leakage,Pole
"MFB reported that a service cable was down on a truck the location. On arrival, the CitiPower crew found that a LV service cable had been contacted by an unknown vehicle, causing the cable to break and fall to the ground and also caused damage to the POA of a connected premise. The truck was not on site when the crew arrived. A builder working nearby reported to the crew that the rego number for the truck was QPE 159. There were no reported injuries.",Service conductor,,Vehicle
VicFire reported a fire at the location.  On arrival the crew found that a LV crossarm had broken causing the LV conductors to clash resulting in a ground fire (approx. 15m x 2m) on the road reserve. Protection operated. There were no reported injuries.,Crossarm (wood),Rot,Crossarm
VicFire reported a fire at the above location.  On arrival the crew found that a bird had cause a flashover on a 22kV/LV substation pole  and had fallen to the ground resulting in a ground fire (approx.. 10m x 10m) on the road reserve and adjoining private property. There were no reported injuries.,Insulators,,Animal
"Fire Brigade called in Street Light fire, Fault Crew Dispatched. Fault crew responded to a report from the Fire Brigade regarding a street light on fire in Morris Rd on the North Side of Burwood Hwy. Upon arrival the crew found that a 250 Watt HPS lantern had caught fire (it was extinguished by the time they arrived). No damage to any other assets or property.",Public lighting,Electrical breakdown,AF Other
MFB reported that a truck had brought down a service wire at the location. On arrival the crew found that a LV service cable had been contacted by a vehicle breaking the cable and causing it to fall to the ground. The truck had left the scene by the time crew arrived. Following repairs the crew measured the cable height at 4.6m. There were no reported injuries or third party property damages.,Service conductor,,Vehicle
A Powercor employee reported a copper theft at the location. On arrival the crew found that several Kiosk Substations in the area had been broken into and copper earthing stolen by unknown third parties. There were no reported injuries or third party property damages.,Copper;Earth/earthing,,Other
A Powercor employee reported a copper theft at the location. On arrival the crew found that several Kiosk Substations in the area had been broken into and copper earthing stolen by unknown third parties. There were no reported injuries or third party property damages.,Copper;Earth/earthing,,Other
"Michael Laukart was walking around a vacant block at 2991 Healesville Kinglake Road, Kinglake, when he received an electric shock as he made simultaneous contact with his hand as he touched an exposed cable laying on the ground whilst standing on the ground. The customer received tingles from u/g cable that did supply a house that was destroyed by fire years ago.

Voltage tests between an independent earth and various points of the electrical installation, including the distribution assets revealed the conductor was at 240 Volts potential.

This condition caused current to flow through the the general mass of earth to the substation located on the property.",No failed asset,Unknown technical factor,Other
Reports of pole smouldering. Crew on arrival advised pole had burnt down almost to the base (LIS#1601294) as the pole was struck by lightning.  It was an intermediate pole with fog pin type insulators with 3/12 steel conductor. No ground fire occurred as the pole was sitting in water.,Pole (wood),,Lightning
